Designator,Val,Package,Mid X,Mid Y,Rotation,Side
C1,10uF,C_0603_1608Metric,-0.58205,29.76875,180,bottom
C2,1uF,C_0402_1005Metric,-15.47455,14.416498,-90,bottom
C3,100nF,C_0402_1005Metric,-9.90515,14.527698,-90,bottom
C4,100nF,C_0402_1005Metric,-13.96315,14.457898,-90,bottom
C5,100nF,C_0402_1005Metric,-12.67945,14.437198,-90,bottom
C6,100nF,C_0402_1005Metric,-11.29225,14.519998,-90,bottom
ESD1,PRTR5V0U2X,SOT-143,80.53415,12.754998,180,bottom
F1,500mA,Fuse_0805_2012Metric,-1.42835,19.817498,0,bottom
J1,USB_C_Receptacle_USB2.0,HRO-TYPE-C-31-M-12-Assembly,-8.48125,38.93125,0,bottom
R1,5.1k,R_0603_1608Metric,-7.54795,14.399598,0,bottom
R2,5.1k,R_0603_1608Metric,-1.42835,24.817498,0,bottom
R3,5.1k,R_0402_1005Metric,86.53695,13.514898,180,bottom
R4,5.1k,R_0402_1005Metric,83.60185,13.498398,180,bottom
U1,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,91.44045,1.798798,180,bottom
U2,TLV73333PDBV,SOT-23-5,80.67165,7.992498,180,bottom
